example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version,completion
telecom-0011,telecom,How does the channel raster differ from the global frequency raster in terms of RF reference frequencies?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The channel raster and global frequency raster are two distinct concepts in 3GPP 5G NR:

1. **Global Frequency Raster**: This is the fundamental frequency spacing used across all NR bands, defined in 3GPP TS 38.101, Section 5.3.1. It typically corresponds to 5 kHz, enabling a consistent reference for all frequency assignments globally.

2. **Channel Raster**: This refers to the specific frequency spacing within a given band or slice, which may be finer or coarser than the global raster depending on the band and deployment scenario. Channel rasters are defined in 3GPP TS 38.101, Section 5.3.2, and can differ from the global raster, especially in lower bands where higher channel density is required.

In summary, the global frequency raster provides a universal reference, while the channel raster is more granular and tailored to specific bands or use cases."
telecom-0012,telecom,What is the procedure for testing connectors in a base station type 1-H?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP TS 38.301, there is no specific procedure for testing connectors in a base station type 1-H. Type 1-H refers to a base station configuration, not a connector type. Connector testing procedures are generally covered in 3GPP TS 38.308, which specifies the requirements for the physical layer of 5G NR base stations. Testing typically involves electrical continuity, impedance matching, and environmental stability assessments."
telecom-0013,telecom,What are the minimum requirements for UE measurement activity during inter-RAT cell reselection?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"According to 3GPP TS 38.331, the UE is required to perform measurement activities for all neighboring cells in other RATs (inter-RAT) that are within the measurement range. The UE shall initiate and maintain these measurements according to the measurement control message from the network. The minimum measurement configuration includes the measurement ID, the list of cells (including RAT information), and the required measurement type (such as RSRP, RSRQ, or SINR). The UE must also report measurement results to the network according to the measurement report configuration."
telecom-0014,telecom,What are the primary mechanisms introduced to support Ultra-Reliable and Low Latency Communications (URLLC) services?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The primary mechanisms for supporting Ultra-Reliable and Low Latency Communications (URLLC) in 3GPP 5G NR include the use of dedicated channels, enhanced scheduling algorithms, and low-latency physical layer enhancements. Specifically, 3GPP TS 38.321 defines dedicated URLLC channels and supports low-latency scheduling through procedures such as the use of dedicated transport channels and time/frequency resource allocation. Additionally, 3GPP TS 38.213 details enhanced physical layer features like short-duration transmissions and reduced overhead. These mechanisms collectively contribute to achieving the stringent reliability and latency requirements for URLLC services."
telecom-0015,telecom,What are the implications of NTN cells being fixed relative to the ground in tracking area management?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In NTN (Non-Terrestrial Network) scenarios, such as satellite or UAV-based cells, the physical movement of the base station relative to the ground can significantly impact tracking area management (TAM). When cells are fixed relative to the ground (e.g., ground-based NTN stations), they behave similarly to terrestrial base stations in terms of position stability. However, in dynamic NTN environments, such as mobile satellites or flying UAVs, the base station’s position changes, which may affect cell edge tracking and handover procedures.

The main implication for tracking area management is that fixed NTN cells may require similar tracking area parameters as terrestrial systems. However, if NTN cells are in motion, the tracking area boundaries may need to be adjusted dynamically to account for movement, ensuring seamless handovers and minimizing tracking area updates. This requires careful consideration of the mobility model, cell movement speed, and the associated radio link stability.

For further technical details, see 3GPP TS 38.331 Section 5.3.2 on Tracking Area Management and 3GPP TS 23.501 on Mobility Management."
telecom-0016,telecom,How do the parameters T~q~ and T~p~ influence the adjustments in UE uplink timing?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP TS 38.331, T~q~ (Q-RNTI) and T~p~ (P-RNTI) are timing adjustments used for uplink synchronization in NR. T~q~ is applied to the uplink timing of the UE to align the transmission with the base station, while T~p~ is used for P-RNTI-based timing adjustments, typically for enhanced uplink timing accuracy and synchronization. These parameters help mitigate timing errors due to propagation delay and device variations."
telecom-0017,telecom,"What is the role of the main RF carrier in the context of the additional RF carrier, and how does it facilitate connectivity for different UEs?",False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In the context of 3GPP 5G NR, the main RF carrier serves as the primary reference point for frequency coordination and synchronization across multiple additional RF carriers. This ensures that the additional RF carriers maintain coherence with the main carrier, enabling seamless handover and efficient resource sharing among User Equipment (UE). The main RF carrier also plays a critical role in facilitating initial access and maintaining connection stability for UEs operating on different RF carriers."
telecom-0018,telecom,When is LDPC base graph 2 used over LDPC base graph 1 for encoding code blocks?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"LDPC base graph 2 is used over LDPC base graph 1 for encoding code blocks when the code rate is below 1/3. This is defined in 3GPP TS 38.211, section 6.2.4. The choice of base graph impacts the code rate and the performance of the LDPC code."
telecom-0019,telecom,What are some of the proposed enhancements for UL SRS in NR positioning?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"3GPP has proposed several enhancements for Uplink Sounding Reference Signals (UL SRS) to improve positioning accuracy in 5G NR. These include the introduction of more flexible SRS configurations, such as variable sounding periods and enhanced beam management, as outlined in 3GPP TS 38.104. Additionally, new SRS reference signals are being standardized to support more precise time and frequency synchronization, which directly contributes to improved positioning performance."
telecom-0020,telecom,What test procedures are involved in verifying the PRACH preamble detection under different propagation conditions?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"PRACH preamble detection is verified through standardized test procedures defined in 3GPP TS 38.321. These procedures typically involve measuring detection success rates under varying propagation conditions, including different path loss profiles, shadowing effects, and multipath environments. The tests ensure that the UE and gNB can correctly detect and decode the preamble despite signal impairments. The specific parameters and configurations are detailed in the PRACH configuration section of the TS 38.321 document."
telecom-0021,telecom,How is the minimum output power calculated for a UE during carrier aggregation?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP TS 38.211, section 7.4.2, the minimum output power for a UE during carrier aggregation is determined by the minimum output power of the individual component carriers. The UE must ensure that the total output power across all aggregated carriers does not exceed the maximum allowed output power per carrier, as specified in the radio access technology (RAT) requirements. This ensures compliance with regulatory and technical standards for power control in 5G NR systems."
telecom-0022,telecom,"How is ΔR~IB,c~ defined and what values are associated with the inter-band CA configuration CA_n2-n12-n66-n77?",False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"ΔR~IB,c~ is the inter-band CA (Carrier Aggregation) configuration offset, defined in 3GPP TS 38.101, Section 5.1.5. For the inter-band CA configuration CA_n2-n12-n66-n77, ΔR~IB,c~ is typically set to 1 (as per 3GPP TS 38.101, 5.1.5), meaning that the inter-band CA configuration is enabled with a 1 MHz offset. This offset is used to ensure frequency band separation and avoid interference."
telecom-0023,telecom,What considerations are there for barring cells for RedCap UEs compared to legacy UEs?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"RedCap UEs typically have lower capability and are optimized for lower data rates and power consumption compared to legacy UEs. As such, there are fewer cells that can support RedCap UEs due to the stricter requirements on cell coverage and interference. This means that RedCap UEs may be barred from cells that are not designed to handle their lower data rate and reliability needs. This is particularly relevant in dense urban environments where interference and capacity constraints are significant."
telecom-0024,telecom,What actions must the gNB-DU take upon receiving a RESET message from the gNB-CU?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"When the gNB-DU receives a RESET message from the gNB-CU, it must immediately cease all operations related to the UE and the NR radio access network. This includes stopping any ongoing transmission or reception activities and releasing any allocated radio resources. The gNB-DU should then enter a reset state and await further instructions from the gNB-CU, as defined in 3GPP TS 38.413, Section 5.3.1."
telecom-0025,telecom,What power classes are specified for the carriers n2 and n77 in the provided table?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The power classes for carriers n2 and n77 are not specified in the table. Please check the provided table for specific power class values assigned to each carrier. For detailed information on power classes, refer to 3GPP TS 38.101, Section 7.2.1."
telecom-0026,telecom,How is the mapping of PRBs to users performed in the NR-SAN-FR1-TM for PDSCH transmissions?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In NR-SAN-FR1-TM, PDSCH PRB mapping is done using the PDSCH resource mapping procedure defined in 3GPP TS 38.214 Section 6.1. The mapping is performed by the MAC layer based on the resource allocation (resource block allocation) provided by the RRC. The resource blocks are assigned to users according to the allocation information (e.g., RB allocation, RB start index, and number of RBs allocated to each user). The actual mapping is carried out using the PDSCH resource mapping procedure defined in 3GPP TS 38.214 Section 6.1."
telecom-0027,telecom,How does the allocation of resources for PSSCH interact with PSCCH in sidelink transmission?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In sidelink transmission, PSSCH (Physical Sidelink Shared Channel) and PSCCH (Physical Sidelink Control Channel) share the same resource block (RB) structure but are allocated differently. PSCCH is typically allocated at the beginning of the transmission to control the sidelink process, while PSSCH is allocated after PSCCH to carry the sidelink data. The allocation depends on the sidelink procedure and the number of terminals involved, as defined in 3GPP TS 38.321 (sidelink procedures) and 3GPP TS 38.214 (resource block definitions)."
telecom-0028,telecom,How are the MSD values applied in the context of IMD products produced by Band n5 and n12 UL?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"MSD (Maximum System Downtime) values are not a defined parameter in the context of IMD (Intermodulation Distortion) products for Band n5 and n12 UL in 3GPP specifications. IMD performance is typically evaluated using specific test procedures outlined in 3GPP TS 38.212, rather than MSD values. If you are referring to a different context or specification, please clarify."
telecom-0029,telecom,How can manufacturers confirm that the data clock is derived from the same frequency source as RF generation?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"Manufacturers must verify that the data clock and RF generation are derived from the same frequency source by using a common oscillator or clock distribution system. This synchronization is typically ensured through the use of a single master clock, as specified in 3GPP TS 38.301, Section 5.3.2. Additionally, manufacturers should perform rigorous clock synchronization tests, such as time interval measurements or phase noise analysis, to confirm that the clocks remain aligned within the required tolerances for the system’s performance."
telecom-0030,telecom,What are the initial conditions that need to be established for testing UE maximum output power reduction?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"For testing UE maximum output power reduction, initial conditions include setting the UE in a connected state, ensuring the UE is not in any power-saving mode, and verifying that the network configuration supports power control procedures. The test should be conducted with the UE configured to use the highest possible transmit power allowed by the network, as defined in 3GPP TS 38.331, Section 5.3.1."
telecom-0031,telecom,What are the performance requirements for UEs using fine time assistance in GNSS?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"UEs using fine time assistance in GNSS must meet the performance requirements specified in 3GPP TS 38.104, section 8.4.1.3. The fine time assistance enables improved time synchronization accuracy for the UE, which is critical for reliable communication in NR systems. Performance metrics include accuracy and consistency of the time estimate, typically aiming for a standard deviation of the timing error within a certain range (e.g., 100 ns)."
telecom-0032,telecom,What should the gNB-DU do if it successfully configures measurement gaps or PRS processing windows?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"If the gNB-DU successfully configures measurement gaps or PRS processing windows, it should report this success to the gNB-CU via a dedicated signaling message. The gNB-CU will then use this information for higher-layer processing. This procedure is defined in 3GPP TS 38.321, Section 5.3.4.1 and 5.3.4.2 for measurement gap configuration, and 5.3.4.3 for PRS processing window configuration."
telecom-0033,telecom,What are the default parameters for simulated NAS cells as specified in the 3GPP documentation?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"3GPP does not specify default parameters for simulated NAS (Non-Access Stratum) cells. NAS functionality is handled by the core network and is not defined in terms of cell-specific parameters. Instead, NAS procedures are described in 3GPP TS 24.501 (5G NR) and related specifications. If you're referring to network slicing or virtualized network functions, those are covered in O-RAN and other standards, not NAS-specific cell parameters."
telecom-0034,telecom,What are the potential impacts of increasing the number of SSB beams in the specification?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"Increasing the number of SSB (Synchronization Signal Block) beams can enhance coverage and capacity, especially in areas with high user density or challenging propagation environments. However, this may also increase complexity and power consumption for gNBs, potentially affecting deployment costs and energy efficiency. According to 3GPP TS 38.211, beamforming parameters are defined to balance coverage and interference.

For further details, refer to 3GPP TS 38.211, Section 5.4.2 on beam selection and beam configuration."
telecom-0035,telecom,What is the main objective of the E-UTRA -- NR Cell Resource Coordination procedure?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The main objective of the E-UTRA -- NR Cell Resource Coordination procedure (3GPP TS 38.331, Section 6.4) is to ensure efficient and interference-free allocation of radio resources between 4G LTE (E-UTRA) and 5G NR cells within a shared frequency band. This procedure helps to minimize inter-cell interference and optimize overall network performance by coordinating resource usage and managing neighboring cell interactions."
telecom-0036,telecom,What is the significance of the transmitter intermodulation level in relation to unwanted emission limits?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"Transmitter intermodulation level is critical because it directly impacts unwanted emission limits. High intermodulation products can fall outside regulatory limits, causing interference with other services. According to 3GPP TS 38.152, intermodulation distortion must be below specified thresholds to ensure compliance with emission regulations. This is especially important in densely populated areas or when multiple operators coexist."
telecom-0037,telecom,What does the probability of detection refer to in the context of preamble signals?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP 5G NR, the probability of detection refers to the likelihood that a preamble signal is successfully detected by the UE (User Equipment) at the BS (Base Station) side, considering all possible transmission scenarios, including noise and interference. This metric is crucial for ensuring reliable initial access to the network. It is defined and discussed in 3GPP TS 38.213, Section 5.2.3, which details the preamble detection process in NR."
telecom-0038,telecom,What is the purpose of the ACK_SN field in the RLC layer?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The ACK_SN field in the RLC (Radio Link Control) layer is used to acknowledge the successful receipt of a packet, specifically indicating the sequence number (SN) of the received data unit. This helps ensure reliable data transmission by allowing the transmitter to know which packets have been successfully received. The ACK_SN is part of the RLC control PDU (Protocol Data Unit) and is defined in 3GPP TS 38.321, Section 5.1.2."
telecom-0039,telecom,What are the NR CA configurations listed for supporting power class 2?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"NR CA configurations supporting power class 2 are defined in 3GPP TS 38.321 Section 6.2.3. Power class 2 devices can support CA using both primary and secondary cells, with specific requirements for power control and handover. The exact configuration details are included in the TS 38.321 document, covering power control, handover, and other UE-specific parameters."
telecom-0040,telecom,How is the reference sensitivity for band n28 determined and what values are provided for 30 MHz?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP TS 38.101, reference sensitivity is defined as the minimum received power at the base station's receiver for a signal with a specific SINR. For band n28 (3.4–3.8 GHz), reference sensitivity is typically provided as a function of frequency, and values are usually given for each band's center frequency, not for specific subbands like 30 MHz. For 30 MHz bandwidth, specific sensitivity values are typically not standardized and must be derived based on system configuration and equipment performance. Always consult the latest 3GPP TS 38.101 for exact values and procedures."
telecom-0041,telecom,What are the requirements for the SS when connectivity is EN-DC according to the specification?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In EN-DC (E-UTRA-NR Dual Connectivity) mode, the SS (Synchronization Signal) requirements are defined in 3GPP TS 38.101, specifically in Section 5.3.1.2, which specifies that the SS must be transmitted on the NR PSS/SSS/PBCH subcarriers and must follow the same timing and frequency as in standalone NR. This ensures proper synchronization between the NR and the LTE system, facilitating seamless handover and service continuity."
telecom-0042,telecom,How does the transition between different configurations of RLM resources affect the evaluation period used by the UE?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"When transitioning between different RLM (Radio Link Monitoring) resource configurations, the UE may adjust its RLM evaluation period to align with the new configuration. According to 3GPP TS 38.331, Section 5.4.1, if the UE switches from a single RLM resource to multiple resources, the evaluation period is typically set to the minimum evaluation period among the new resources. This ensures that the UE can efficiently monitor signal quality across all available resources."
telecom-0043,telecom,What is the formula for Maximum Power Reduction (MPR) for intra-band non-contiguous CA power class 3 when dualPA-Architecture is supported?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"There isn't a universally defined formula for Maximum Power Reduction (MPR) in intra-band non-contiguous Carrier Aggregation (CA) for Power Class 3 with dualPA-Architecture in 3GPP 5G NR. MPR is typically determined by the system and network configuration, and it is specified in 3GPP TS 38.331. If you're referring to a specific MPR value, it would be defined in the system's RRC signaling or by the network operator's policy."
telecom-0044,telecom,"What are the proposed values for ΔT~IB,c~ in the inter-band CA configuration CA_n2-n14-n77?",False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The parameter ΔT~IB,c~ is not explicitly defined in the 3GPP specifications for inter-band CA configurations such as CA_n2-n14-n77. In 3GPP TS 38.331, inter-band CA is covered in Section 8.2.2, but ΔT~IB,c~ is not referenced therein. If you have a specific context or document referencing ΔT~IB,c~, please provide it for clarification."
telecom-0045,telecom,What impact does similar power levels between BS and UE have on BS to BS interference in an indoor-to-indoor scenario?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In an indoor-to-indoor scenario, when base stations (BS) and user equipment (UE) have similar power levels, the impact on BS-to-BS interference depends on the spatial proximity and alignment of the BSs. According to 3GPP TS 38.901, the interference is influenced by path loss, shadowing, and the power control mechanisms employed. If the power levels are similar and the BSs are close in location, co-channel interference can be significant, leading to degraded performance. Mitigation strategies such as sectorization, power control, and beamforming are employed in the 5G NR framework to manage this interference effectively."
telecom-0046,telecom,Why is it important to transfer UL Angle of Arrival measurements from gNBs to the LMF?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"Transferring UL Angle of Arrival (AoA) measurements from gNBs to the LMF is critical for enabling advanced beamforming and beam steering in 5G NR networks. This information, derived from 3GPP TS 38.104, helps the LMF support network-wide optimization, improve link reliability, and enhance spectral efficiency. As outlined in 3GPP TS 38.104, AoA data contributes to the dynamic adjustment of beams for better service delivery."
telecom-0047,telecom,How does the requirement for handling timing differences extend to carrier aggregation in NR?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In NR, timing alignment is critical for carrier aggregation, as all aggregated carriers must be synchronized to ensure coherent demodulation and minimize interference. This requires precise timing synchronization across the frequency bands involved, typically managed by the Radio Network Controller (RNC) or the base station (gNB). The 3GPP TS 38.331 specifies timing requirements for carrier aggregation, including synchronization of downlink and uplink transmissions. In practice, this involves precise timing offsets, phase alignment, and coordination between different carriers to maintain signal integrity and avoid interference."
telecom-0048,telecom,What types of equipment does the test specified in section 9.5.0 apply to?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"Section 9.5.0 of 3GPP TS 38.331 specifies the test procedures for Radio Access Network (RAN) equipment, specifically for testing the performance and functionality of base stations. This includes equipment such as eNodeBs and gNodeBs, which are key components of 4G LTE and 5G NR networks. The tests cover both hardware and software aspects, ensuring that the equipment meets the required standards for interoperability and performance."
telecom-0049,telecom,What factors contribute to the interruption time during a handover process?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"Interruption time during a handover in 3GPP 5G NR can be influenced by several factors. These include the duration of the handover procedure itself, which is determined by the handover decision time and execution time specified in 3GPP TS 38.331 Section 5.3.2. Other contributing factors are the distance between the source and target base stations, signal quality, and the complexity of the handover type (e.g., intra-cell, inter-cell, or inter-RAN). Additionally, the timing of the handover initiation and the readiness of the target cell can affect the overall interruption period."
telecom-0050,telecom,How does multi-segment transmission handle multiple UL periods within a slot?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP TS 38.214, multi-segment transmission (also known as multi-segment uplink (UL)) allows the UE to transmit data over multiple uplink periods within a single slot, rather than being restricted to a single UL period. This is particularly useful for high-throughput scenarios, as it enables the UE to send data in smaller segments, potentially improving reliability and throughput. The UE and gNB coordinate the timing and allocation of these segments to optimize performance within the slot structure."
telecom-0051,telecom,What are the minimum conformance requirements for the UE Rx-Tx time difference measurement in the NR SA FR2 scenario?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In the NR SA FR2 scenario, the UE Rx-Tx time difference measurement is defined in 3GPP TS 38.331, section 5.3.2. The minimum conformance requirements include that the UE must measure the time difference between receiving and transmitting a signal on the same frequency, and must report this time difference in microseconds. The accuracy of the measurement is specified to be within 10 microseconds for NR SA FR2 scenarios."
telecom-0052,telecom,What are the minimum conformance requirements for the L1-RSRP measurement in this test case?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP TS 38.101, Section 5.2.3, the minimum conformance requirement for L1-RSRP measurement is defined as the signal strength of the measured cell's reference signal. The measurement must be accurate within ±1 dB of the true value, and the UE must be able to report this measurement according to the specified format and timing. Any deviation from these standards would constitute non-conformance."
telecom-0053,telecom,What is the purpose of the NOTIFICATION CONTROL INDICATION message in the context of M-NG-RAN node initiated procedures?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The NOTIFICATION CONTROL INDICATION message is used by an M-NG-RAN node to signal a control action to a UE (User Equipment), such as initiating a handover or mobility management procedure. This message is part of the procedure for handling mobility events in the M-NG-RAN, as defined in 3GPP TS 23.501 and related specifications. The exact purpose may vary depending on the specific procedure and context in which it is used.

Please note that the exact parameter values and message definitions are subject to the specific version of the 3GPP TS and the network configuration. For the most accurate and up-to-date information, refer to the latest 3GPP TS 23.501 and related documents."
telecom-0054,telecom,What actions must a UE take in RRC_INACTIVE state when T380 expires?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"When T380 expires in the RRC_INACTIVE state, the UE must transition to the RRC_IDLE state. This transition is defined in 3GPP TS 38.331, section 5.2.2, which specifies the RRC states and transitions. The UE should perform any necessary actions to maintain its connection to the network, such as re-registration or re-establishing a context."
telecom-0055,telecom,How are multiple LTE or NR carriers represented in a configuration according to the specification?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP TS 38.331, multiple LTE or NR carriers are represented by specifying each carrier's frequency band, bandwidth, and transmission mode within the Radio Network Configuration (RNC) or Radio Bearer Configuration (RBC) parameters. Each carrier is defined independently, allowing for flexible network configurations with different frequencies and bandwidths.

For NR, carriers are also defined by the Radio Access Network (RAN) configuration, specifying each carrier’s frequency, bandwidth, and transmission mode. This enables efficient spectrum utilization and supports multi-carrier operation in both LTE and NR networks.

For LTE, the same principle applies, with carriers defined in the LTE Radio Network Configuration. The specification allows for configuration of multiple carriers with different frequencies and bandwidths, providing flexibility in network deployment."
