example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version
brick3-0100,finance,How long does a dividend payout take to reflect in my money market account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0101,finance,How does an interest tax shield lower the effective cost of debt under Modigliani-Miller Theorem?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0102,finance,Explain the charges for merchant payments on an agency bank.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0103,finance,What is the impact of section 163(j) interest caps on corporate net interest margin tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0104,finance,What documents do I need to verify a mobile money line?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0105,finance,How is the MACRS depreciation tax shield calculated for real estate investment trusts?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0106,finance,Explain the charges for overdraft facilities on a digital micro-lender.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0107,finance,How does withholding tax affect my M-Pesa wallet during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0108,finance,Explain the charges for merchant payments on M-Pesa.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0109,finance,How do I read my bank statement to find the total monthly bank charges?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0110,finance,What steps should I follow to rebalance sovereign bonds safely?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0111,finance,Explain the charges for standing orders on M-Pesa.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0112,finance,How is the intangible asset amortization tax shield calculated for capital asset purchases?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0113,finance,How long does a clearing house settlement take to reflect in my dollar account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0114,finance,What documents do I need to close a tax pin profile?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0115,finance,What documents do I need to audit a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0116,finance,How do I withdraw cash from a SACCO account using an agent portal?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0117,finance,Explain the charges for standing orders on a digital micro-lender.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0118,finance,How do I pay for goods with a mobile wallet using PesaLink?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0119,finance,What is a standing order and how do I set one up?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0120,finance,How is the interest debt tax shield calculated for real estate investment trusts?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0121,finance,Is it possible to start a chama as a minor without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0122,finance,How long does a bank-to-wallet payment take to reflect in my savings account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0123,finance,How do I reconcile balances for a mobile wallet using SWIFT transfer?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0124,finance,Explain the charges for overdraft facilities on an insurance app.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0125,finance,What documents do I need to register a CDS trading account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0126,finance,Explain the charges for international transfers on an insurance app.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0127,finance,What documents do I need to consolidate a SACCO membership?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0128,finance,How do I withdraw cash from offshore equities using Airtel Money?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0129,finance,Is it possible to issue commercial paper as a non-resident without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0130,finance,How do I borrow against commercial paper using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0131,finance,How do I reconcile balances for a bank card using an agent till?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0132,finance,How does repo rate adjustment affect my current account during economic downturns?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0133,finance,How do I invest in offshore equities using M-Pesa?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0134,finance,Is it possible to pay a utility bill with a guarantor without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0135,finance,What documents do I need to verify a HELB account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0136,finance,Is it possible to start a chama from abroad without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0137,finance,How does inflation pressure affect my cooperative account during harvest seasons?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0138,finance,What are the tax implications of trading cryptocurrencies in East Africa?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0139,finance,How does currency devaluation affect my M-Pesa wallet during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0140,finance,What is the impact of section 163(j) interest caps on corporate free cash flow to firm tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0141,finance,How do I pay for goods with an escrow account using an agent till?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0142,finance,Is it possible to get a loan with a passport without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0143,finance,How do I reverse a wrong M-Pesa transaction sent to an unknown number?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0144,finance,How long does a PesaLink transfer take to reflect in my CDS investment account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0145,finance,What documents do I need to open a tax pin profile?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0146,finance,Is it possible to buy treasury bills with a guarantor without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0147,finance,How is the tax loss carryforward tax shield calculated for multinational subsidiaries?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0148,finance,What steps should I follow to securitize treasury bills safely?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0149,finance,Is it possible to start a chama under business name without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0150,finance,What is the impact of section 163(j) interest caps on corporate debt-to-equity ratio tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0151,finance,Is it possible to pay a utility bill with a passport without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0152,finance,Explain the charges for custodial services on a fintech app.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0153,finance,How does currency devaluation affect my M-Pesa wallet during harvest seasons?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0154,finance,What documents do I need to register an NSSF account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0155,finance,How long does a clearing house settlement take to reflect in my current account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0156,finance,How do I invest in an insurance policy using PesaLink?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0157,finance,What is the impact of accelerated cost recovery legislation on corporate weighted average cost of capital (WACC) tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0158,finance,How does credit scoring at Metropol CRB impact loan approval chances?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0159,finance,How does excise duty adjustment affect my savings account during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0160,finance,How do I borrow against an insurance policy using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0161,finance,How does currency devaluation affect my money market account during economic downturns?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0162,finance,How do I save towards a bank card using M-Pesa?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0163,finance,What fees apply when securitizing international wire transfers?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0164,finance,Is it possible to register for eCitizen payments as a non-resident without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0165,finance,Explain the charges for standing orders on the stock exchange.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0166,finance,How do I borrow against an escrow account using PesaLink?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0167,finance,How do I collateralize an insurance policy using an agent portal?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0168,finance,How do microfinance banks differ from commercial banks in Kenya?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0169,finance,How long does a cheque clearance take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0170,finance,How do I borrow against a treasury bond using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0171,finance,How long does a dividend payout take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0172,finance,How long does a standing order take to reflect in my current account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0173,finance,How do I invest in commercial paper using Airtel Money?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0174,finance,How does excise duty adjustment affect my fixed deposit during fiscal quarters?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0175,finance,How do multinational corporations use Double Taxation Avoidance Agreements (DTAAs) for tax shielding?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0176,finance,What documents do I need to open a mobile money line?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0177,finance,What fees apply when overdrawing a dollar amount?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0178,finance,How do I reconcile balances for a unit trust fund using Airtel Money?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0179,finance,How do I borrow against an insurance policy using SWIFT transfer?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0180,finance,How does withholding tax affect my fixed deposit during economic downturns?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0181,finance,Is it possible to get a loan under business name without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0182,finance,What is the impact of cross-border withholding tax treaties on corporate debt-to-equity ratio tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0183,finance,What documents do I need to verify a SACCO membership?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0184,finance,How do I invest in a treasury bond using an agent till?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0185,finance,How do I send money to a treasury bond using an agent portal?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0186,finance,Explain the charges for trade finance facilities on M-Pesa.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0187,finance,How is the tax loss carryforward tax shield calculated for capital asset purchases?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0188,finance,How long does a dividend payout take to reflect in my savings account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0189,finance,Explain the charges for custodial services on an online brokerage portal.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0190,finance,How does inflation pressure affect my CDS investment account during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0191,finance,What is a tax-advantaged capital structure and how does debt capacity impact valuation?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0192,finance,How does excise duty adjustment affect my savings account during economic downturns?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0193,finance,Explain the charges for merchant payments on a fintech app.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0194,finance,Is it possible to pay a utility bill from abroad without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0195,finance,What fees apply when overdrawing bond coupon payments?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0196,finance,What documents do I need to restructure an NSSF account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0197,finance,Explain the charges for salary advances on a fintech app.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0198,finance,What is the impact of corporate income tax rate hikes on corporate debt-to-equity ratio tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0199,finance,How long does a dividend payout take to reflect in my CDS investment account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0200,finance,How long does a dividend payout take to reflect in my dollar account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0201,finance,Explain the charges for standing orders on a Sacco portal.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0202,finance,What fees apply when reversing a dividend?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0203,finance,How does withholding tax affect my money market account during economic downturns?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0204,finance,Is it possible to get a loan without collateral without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0205,finance,What steps should I follow to invest in sovereign bonds safely?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0206,finance,Is it possible to register for eCitizen payments under business name without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0207,finance,How does yield curve inversion affect my fixed deposit during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
