example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version
brick2-0050,finance,What does 'bounce' mean when a cheque is returned unpaid in Kenya?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0051,finance,How do I send money to an insurance policy using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0052,finance,Is it possible to start a chama as a foreigner without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0053,finance,What fees apply when I splitting insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0054,finance,How do I save towards a SACCO account using a forex bureau?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0055,finance,How do I save towards a SACCO account using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0056,finance,How long does a bank-to-wallet payment take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0057,finance,Explain the charges for salary advances on a Sacco portal.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0058,finance,How long does a PesaLink transfer take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0059,finance,What fees apply when I reversing a salary payment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0060,finance,Is it possible to open an account from abroad without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0061,finance,Explain the charges for merchant payments on a fintech app.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0062,finance,What documents do I need to verify an NSSF account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0063,finance,Is it possible to start a chama as a minor without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0064,finance,What fees apply when I withdrawing a salary payment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0065,finance,What documents do I need to register a SACCO membership?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0066,finance,How do I read my bank statement to find the total monthly bank charges?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0067,finance,What documents do I need to consolidate an NSSF account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0068,finance,How long does a bank-to-wallet payment take to reflect in my current account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0069,finance,What fees apply when I overdrawing insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0070,finance,What documents do I need to consolidate a mobile money line?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0071,finance,How long does a PesaLink transfer take to reflect in my M-Pesa wallet?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0072,finance,How do I invest in treasury bills through my phone?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0073,finance,Is it possible to pay a utility bill as a minor without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0074,finance,What documents do I need to consolidate a HELB account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0075,finance,Is it possible to open an account as a foreigner without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0076,finance,What fees apply when I reversing insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0077,finance,Explain the charges for international transfers on M-Pesa.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0078,finance,Is it possible to start a chama with a passport without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0079,finance,Explain the charges for international transfers on an insurance app.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0080,finance,How do I save towards a bank card using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0081,finance,"What fees apply when I splitting KES 5,000?",False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0082,finance,What fees apply when I transferring loan repayments?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0083,finance,Explain the charges for international transfers on a Sacco portal.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0084,finance,What documents do I need to register an escrow account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0085,finance,What fees apply when I transferring a dollar amount?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0086,finance,Is it possible to open an account as a minor without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0087,finance,How is forex spread charged when converting KES to USD at a bureau?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0088,finance,Is it possible to pay a utility bill with a passport without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0089,finance,Should I take a fixed deposit or a money market fund for six months?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0090,finance,How do I invest in a SACCO account using a forex bureau?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0091,finance,What is the difference between a salary advance and a personal loan?,False,,calibration,hand_written,washington,v2-moat-brick-3
brick2-0092,finance,How do I withdraw cash from a SACCO account using a bank app?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0093,finance,How long does a dividend payout take to reflect in my dollar account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0094,finance,Is it possible to buy treasury bills as a minor without a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0095,finance,How do I send money to a bank card using the NSE app?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0096,finance,What documents do I need to close an NSSF account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0097,finance,Explain the charges for standing orders on a Sacco portal.,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0098,finance,How long does a dividend payout take to reflect in my M-Pesa wallet?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0099,finance,How long does an RTGS transfer take to reflect in my current account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0100,finance,How long does a standing order take to reflect in my cooperative account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0101,finance,What are the charges for sending money from Kenya to Tanzania?,False,,calibration,hand_written,washington,v2-moat-brick-3
brick2-0102,finance,Is it possible to get a loan with a guarantor without a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0103,finance,How do I withdraw cash from a bank card using Airtel Money?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0104,finance,How do I withdraw cash from an insurance policy using the NSE app?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0105,finance,Is it possible to open an account with a guarantor without a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0106,finance,How long does a cheque clearance take to reflect in my fixed deposit?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0107,finance,How does the CBK's digital credit rules affect mobile lenders?,False,,calibration,hand_written,washington,v2-moat-brick-3
brick2-0108,finance,Is it possible to register for eCitizen payments from abroad without a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0109,finance,What fees apply when I reversing loan repayments?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0110,finance,What are the current interest rates for SACCO share capital loans?,False,,calibration,hand_written,washington,v2-moat-brick-3
brick2-0111,finance,Explain the charges for merchant payments on an insurance app.,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0112,finance,Is it possible to buy treasury bills from abroad without a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0113,finance,Is it possible to buy treasury bills with a guarantor without a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0114,finance,What documents do I need to close a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0115,finance,How do I reverse a wrong M-Pesa transaction sent to an unknown number?,False,,calibration,hand_written,washington,v2-moat-brick-3
brick2-0116,finance,What fees apply when I splitting a dividend?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0117,finance,What is the penalty for early loan repayment at a Kenyan bank?,False,,calibration,hand_written,washington,v2-moat-brick-3
brick2-0118,finance,Is there a transaction limit for sending money to a mobile wallet in Uganda?,False,,calibration,hand_written,washington,v2-moat-brick-3
brick2-0119,finance,How do I invest in a treasury bond using M-Pesa?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0120,finance,How do I invest in a bank card using a forex bureau?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0121,finance,What fees apply when I withdrawing insurance premiums?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0122,finance,What documents do I need to consolidate a SACCO membership?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0123,finance,Is it possible to start a chama with a guarantor without a bank account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0124,finance,How long does a PesaLink transfer take to reflect in my current account?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0125,finance,Explain the charges for mobile banking on the stock exchange.,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0126,finance,Explain the charges for international transfers on a fintech app.,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0127,finance,What fees apply when I overdrawing a dividend?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0128,finance,How do I invest in a SACCO account using M-Pesa?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0129,finance,What fees apply when I splitting loan repayments?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0130,finance,Is it possible to register for eCitizen payments as a minor without a bank account?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0131,finance,How do I file VAT returns for my online shop?,False,,test,hand_written,washington,v2-moat-brick-3
brick2-0132,finance,How do I withdraw cash from a mobile wallet using Airtel Money?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0133,finance,What documents do I need to verify a SACCO membership?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0134,finance,How do I invest in a treasury bond using the NSE app?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0135,finance,What is a standing order and how do I set one up?,False,,test,hand_written,washington,v2-moat-brick-3
brick2-0136,finance,How do I invest in a SACCO account using Airtel Money?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0137,finance,What documents do I need to link an NSSF account?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0138,finance,How do I borrow against a bank card using an agent till?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0139,finance,Is it possible to start a chama from abroad without a bank account?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0140,finance,Is it possible to get a loan as a minor without a bank account?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0141,finance,Explain the charges for overdraft facilities on an insurance app.,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0142,finance,Explain the charges for merchant payments on an agency bank.,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0143,finance,Explain the charges for standing orders on M-Pesa.,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0144,finance,How long does an RTGS transfer take to reflect in my cooperative account?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0145,finance,How long does a cheque clearance take to reflect in my current account?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0146,finance,How do I open a bank account for my small business in Kenya?,False,,test,hand_written,washington,v2-moat-brick-3
brick2-0147,finance,Explain the difference between M-Shwari and Fuliza loan charges.,False,,test,hand_written,washington,v2-moat-brick-3
brick2-0148,finance,What documents do I need to consolidate a bank account?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0149,finance,What documents do I need to close a mobile money line?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0150,finance,What documents do I need to register a mobile money line?,False,,test,systematic_generation,washington,v2-moat-brick-3
brick2-0151,law,How do I make a police report for a bounced cheque?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0152,law,What does the Penal Code say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0153,law,What are my obligations as a landlord under the Landlord and Tenant Act?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0154,law,Does the Access to Information Act apply to a foreign company?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0155,law,Is selling expired goods allowed under Kenyan law?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0156,law,What does the Companies Act say about airtime data privacy?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0157,law,How does defamation law apply to posts on X in Kenya?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0158,law,Can a foreign company be sued for insider trading?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0159,law,Is processing data without consent allowed under Kenyan law?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0160,law,What does the Consumer Protection Act say about employee termination?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0161,law,Is dismissing an employee without notice allowed under the Land Act?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0162,law,Does the Kenya Data Protection Act 2019 apply to a small e-commerce shop?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0163,law,Does the Employment Act apply to a sole trader?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0164,law,Can a sole trader be sued for money laundering?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0165,law,Does the Companies Act apply to a school?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0166,law,What does Kenyan law say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0167,law,What does the Access to Information Act say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0168,law,Does the Employment Act apply to a church?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0169,law,What does the Companies Act say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0170,law,Can a sole trader be sued for breach of contract?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0171,law,Can a sole trader be sued for identity theft?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0172,law,Does the Employment Act apply to a school?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0173,law,Can a sole trader be sued for insider trading?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0174,law,How do I register a trademark for my brand in Kenya?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0175,law,What does the Companies Act say about director liability?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0176,law,Does the Labour Relations Act apply to a school?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0177,law,Does the Consumer Protection Act apply to a foreign company?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0178,law,What does the Land Act say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0179,law,Is withholding severance pay allowed under the Labour Relations Act?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0180,law,Can a church be sued for fraud?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0181,law,What happens when a company director breaches their fiduciary duty?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0182,law,Can a school be sued for breach of contract?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0183,law,Does the Access to Information Act apply to a church?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0184,law,What does the Labour Relations Act say about director liability?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0185,law,Can a church be sued for identity theft?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0186,law,Does the Access to Information Act apply to a sole trader?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0187,law,Is dismissing an employee without notice allowed under the Access to Information Act?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0188,law,Is withholding severance pay allowed under the Penal Code?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0189,law,What does the Consumer Protection Act say about airtime data privacy?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0190,law,Does the Companies Act apply to a foreign company?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0191,law,Who is liable when an employee leaks customer data?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0192,law,What does the Labour Relations Act say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0193,law,Is withholding severance pay allowed under Kenyan law?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0194,law,Does the Companies Act apply to a church?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0195,law,What does the Land Act say about airtime data privacy?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0196,law,What is the penalty for money laundering under Kenyan law?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0197,law,What does the Consumer Protection Act say about probationary employment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0198,law,What does the Consumer Protection Act say about unfair market practices?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0199,law,Does the Labour Relations Act apply to a church?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0200,law,What does the Employment Act say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0201,law,What does the Constitution say about director liability?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0202,law,What is the difference between a lease and a tenancy agreement?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0203,law,How do I handle a dispute with a contractor who was paid in advance?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0204,law,What does the Land Act say about unfair market practices?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0205,law,What does the Access to Information Act say about director liability?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0206,law,What does the Access to Information Act say about probationary employment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0207,law,What does the Consumer Protection Act say about director liability?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0208,law,What does the Data Protection Act 2019 say about airtime data privacy?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0209,law,Who is liable when a supplier breaches a contract?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0210,law,What does the Employment Act say about airtime data privacy?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0211,law,Does the Data Protection Act 2019 apply to a church?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0212,law,What does the Data Protection Act 2019 say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0213,law,How does the Companies Act handle a dispute between two shareholders?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0214,law,Is dismissing a union member allowed under the Penal Code?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0215,law,What does the Access to Information Act say about airtime data privacy?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0216,law,What does the Constitution say about customer data sharing?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0217,law,Can a foreign company be sued for fraud?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0218,law,Can a foreign company be sued for identity theft?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0219,law,What does the Data Protection Act 2019 say about employee termination?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0220,law,Can a church be sued for money laundering?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0221,law,What does the Employment Act say about unfair market practices?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0222,law,What is the penalty for defamation under Kenyan law?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0223,law,What does the Companies Act say about probationary employment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0224,law,What does the Penal Code say about probationary employment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0225,law,Is dismissing an employee without notice allowed under the Penal Code?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0226,law,What does the Employment Act say about director liability?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0227,law,Can my employer read my personal messages on a work phone?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0228,law,Is dismissing a union member allowed under the Constitution?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0229,law,Does the Consumer Protection Act apply to a school?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0230,law,What does the Consumer Protection Act say about refunds?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0231,law,What does Kenyan law say about probationary employment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0232,law,Is withholding severance pay allowed under the Constitution?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0233,law,What clauses should a software development NDA include?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0234,law,Is processing data without consent allowed under the Land Act?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0235,law,Can a school be sued for money laundering?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0236,law,What does the Access to Information Act say about unfair market practices?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0237,law,Is processing data without consent allowed under the Penal Code?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0238,law,Does the Labour Relations Act apply to a sole trader?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0239,law,What are the legal steps to incorporate a company in Kenya?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0240,law,Who is liable when a company fails to file returns?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0241,law,Can a church be sued for breach of contract?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0242,law,Does the Consumer Protection Act apply to a sole trader?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0243,law,What does the Data Protection Act 2019 say about unfair market practices?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0244,law,Is sharing customer data with third parties allowed under the Penal Code?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0245,law,What does the Labour Relations Act say about unfair market practices?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0246,law,Can a sole trader be sued for defamation?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0247,law,Can a school be sued for defamation?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0248,law,Is sharing customer data with third parties allowed under the Labour Relations Act?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
brick2-0249,law,Who is liable when a tenant damages property?,False,,calibration,systematic_generation,washington,v2-moat-brick-3
